objectid;id_medidor;fecha;energia_kw;potencia_k;hora
86960;4;3/10/2019;205417.00;124.32;13:45
86967;4;3/10/2019;205423.00;124.92;14:00
86974;4;3/10/2019;205429.00;114.10;14:15
86987;4;3/10/2019;205435.00;145.34;14:30
86994;4;3/10/2019;205441.00;109.54;14:45
87000;4;3/10/2019;205447.00;123.58;15:00
87007;4;3/10/2019;205453.00;127.74;15:15
87013;4;3/10/2019;205459.00;122.14;15:30
87020;4;3/10/2019;205465.00;112.66;15:45
87027;4;3/10/2019;205471.00;112.16;16:00
87033;4;3/10/2019;205476.00;146.62;16:15
87039;4;3/10/2019;205482.00;114.12;16:30
87046;4;3/10/2019;205488.00;107.98;16:45
87051;4;3/10/2019;205493.00;95.16;17:00
87057;4;3/10/2019;205498.00;88.68;17:15
87064;4;3/10/2019;205502.00;86.88;17:30
87071;4;3/10/2019;205507.00;104.32;17:45
87084;4;3/10/2019;205512.00;101.82;18:00
87091;4;3/10/2019;205518.00;99.46;18:15
87097;4;3/10/2019;205523.00;97.84;18:30
87104;4;3/10/2019;205527.00;93.94;18:45
87110;4;3/10/2019;205532.00;70.98;19:00
87117;4;3/10/2019;205535.00;70.82;19:15
87124;4;3/10/2019;205539.00;74.38;19:30
87130;4;3/10/2019;205542.00;67.02;19:45
87136;4;3/10/2019;205546.00;52.28;20:00
87143;4;3/10/2019;205548.00;48.08;20:15
87149;4;3/10/2019;205550.00;45.30;20:30
87154;4;3/10/2019;205553.00;45.18;20:45
87160;4;3/10/2019;205555.00;47.10;21:00
87167;4;3/10/2019;205557.00;45.58;21:15
87179;4;3/10/2019;205559.00;43.36;21:30
87185;4;3/10/2019;205562.00;42.80;21:45
87191;4;3/10/2019;205564.00;42.74;22:00
87198;4;3/10/2019;205566.00;44.64;22:15
87204;4;3/10/2019;205568.00;43.82;22:30
87211;4;3/10/2019;205570.00;43.12;22:45
87218;4;3/10/2019;205572.00;42.74;23:00
87224;4;3/10/2019;205575.00;43.10;23:15
87230;4;3/10/2019;205577.00;44.98;23:30
87237;4;3/10/2019;205579.00;43.16;23:45
87243;4;4/10/2019;205581.00;44.92;0:00
87249;4;4/10/2019;205583.00;43.52;0:15
87256;4;4/10/2019;205586.00;45.10;0:30
87263;4;4/10/2019;205588.00;43.54;0:45
87276;4;4/10/2019;205590.00;43.96;1:00
87283;4;4/10/2019;205592.00;43.96;1:15
87289;4;4/10/2019;205594.00;43.98;1:30
87296;4;4/10/2019;205597.00;43.48;1:45
87302;4;4/10/2019;205599.00;43.74;2:00
87309;4;4/10/2019;205601.00;43.96;2:15
87316;4;4/10/2019;205603.00;43.74;2:30
87322;4;4/10/2019;205605.00;43.74;2:45
87328;4;4/10/2019;205608.00;44.06;3:00
87335;4;4/10/2019;205610.00;43.88;3:15
87341;4;4/10/2019;205612.00;43.84;3:30
87347;4;4/10/2019;205614.00;45.72;3:45
87354;4;4/10/2019;205616.00;44.16;4:00
87361;4;4/10/2019;205619.00;45.56;4:15
87374;4;4/10/2019;205621.00;44.16;4:30
87381;4;4/10/2019;205623.00;45.64;4:45
87387;4;4/10/2019;205625.00;44.14;5:00
87394;4;4/10/2019;205628.00;45.08;5:15
87400;4;4/10/2019;205630.00;43.28;5:30
87407;4;4/10/2019;205632.00;44.60;5:45
87414;4;4/10/2019;205634.00;53.94;6:00
87420;4;4/10/2019;205638.00;82.86;6:15
87426;4;4/10/2019;205641.00;64.78;6:30
87433;4;4/10/2019;205645.00;66.64;6:45
87439;4;4/10/2019;205648.00;92.16;7:00
87445;4;4/10/2019;205653.00;97.14;7:15
87452;4;4/10/2019;205657.00;84.74;7:30
87459;4;4/10/2019;205661.00;88.48;7:45
87472;4;4/10/2019;205666.00;83.30;8:00
87479;4;4/10/2019;205670.00;83.10;8:15
87485;4;4/10/2019;205674.00;79.84;8:30
87492;4;4/10/2019;205678.00;84.16;8:45
87497;4;4/10/2019;205682.00;88.88;9:00
87504;4;4/10/2019;205686.00;75.12;9:15
87511;4;4/10/2019;205691.00;80.76;9:30
87517;4;4/10/2019;205695.00;86.44;9:45
87523;4;4/10/2019;205699.00;91.70;10:00
87530;4;4/10/2019;205704.00;106.70;10:15
87536;4;4/10/2019;205708.00;84.54;10:30
87542;4;4/10/2019;205713.00;94.48;10:45
87549;4;4/10/2019;205718.00;99.60;11:00
87556;4;4/10/2019;205723.00;102.22;11:15
87569;4;4/10/2019;205729.00;105.00;11:30
87576;4;4/10/2019;205734.00;135.36;11:45
87582;4;4/10/2019;205739.00;91.86;12:00
87589;4;4/10/2019;205744.00;92.02;12:15
87595;4;4/10/2019;205749.00;95.00;12:30
87602;4;4/10/2019;205753.00;82.86;12:45
87609;4;4/10/2019;205758.00;87.26;13:00
87615;4;4/10/2019;205762.00;88.50;13:15
87621;4;4/10/2019;205766.00;94.82;13:30
87627;4;4/10/2019;205772.00;102.86;13:45
87633;4;4/10/2019;205777.00;101.40;14:00
87639;4;4/10/2019;205781.00;86.66;14:15
87646;4;4/10/2019;205786.00;94.38;14:30
87653;4;4/10/2019;205790.00;86.42;14:45
87666;4;4/10/2019;205795.00;101.28;15:00
87673;4;4/10/2019;205801.00;100.24;15:15
87679;4;4/10/2019;205806.00;99.24;15:30
87686;4;4/10/2019;205811.00;98.68;15:45
87692;4;4/10/2019;205816.00;100.06;16:00
87699;4;4/10/2019;205821.00;95.82;16:15
87706;4;4/10/2019;205826.00;90.16;16:30
87712;4;4/10/2019;205830.00;96.00;16:45
87718;4;4/10/2019;205835.00;100.42;17:00
87725;4;4/10/2019;205839.00;93.92;17:15
